,pause,play,completed,id,user_id
12,"{'timestamps': ['2024-08-15T19:05:23.062773', '2024-08-31T19:51:41.550410', '2024-08-31T19:51:41.550523'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 31, 17, 51, 41, 549999, tzinfo=datetime.timezone.utc), 'count': 3}","{'timestamps': ['2024-08-15T18:59:11.021743'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 15, 16, 59, 11, 20999, tzinfo=datetime.timezone.utc), 'count': 1}",,X6J7OVpJiXzKG5RIOkVy,2D5MR1JTOWcUVeEswfDyuabEoHp1
13,"{'timestamps': ['2024-11-24T12:14:11.839'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 24, 12, 14, 11, 839000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-11-24T12:13:43.142'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 24, 12, 13, 43, 142000, tzinfo=datetime.timezone.utc), 'count': 1}",,C9XDa8yrfplSPLyH1mxp,2DNVQmfazsZuh4GA9CpmaMFZBQC2
14,,"{'timestamps': ['2025-06-15T13:49:25.770640'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 11, 49, 25, 770000, tzinfo=datetime.timezone.utc), 'count': 1}",,MRwxQu0JuHiUbEndjKnx,2PxcCL5OINbDuzgythKBTjJajJ92
15,"{'timestamps': ['2025-06-25T16:33:21.087943'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 25, 15, 33, 21, 86999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-25T16:32:27.136226'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 25, 15, 32, 27, 135999, tzinfo=datetime.timezone.utc), 'count': 1}",,vqhtRRpyIi5cDucal22I,2SGOK1PPRudChP5JMob8UapH9JC3
16,"{'timestamps': ['2025-06-15T13:18:41.710384', '2025-06-15T13:18:45.012618', '2025-06-15T13:20:05.363436', '2025-06-15T13:20:46.548302', '2025-06-15T13:22:24.855388'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 20, 22, 24, 855000, tzinfo=datetime.timezone.utc), 'count': 5}","{'timestamps': ['2025-06-15T13:17:28.565423', '2025-06-15T13:18:45.064021', '2025-06-15T13:18:46.457442', '2025-06-15T13:20:33.738014', '2025-06-15T13:20:49.949933'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 20, 20, 49, 948999, tzinfo=datetime.timezone.utc), 'count': 5}",,n47i9Twd62gFplz9QMw4,2XzFTSMyf2VupRawbPHiDXAdcQp1
17,"{'timestamps': ['2025-06-18T11:15:09.474330'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 18, 15, 15, 9, 474000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-18T11:14:15.000074'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 18, 15, 14, 15, tzinfo=datetime.timezone.utc), 'count': 1}",,KReXC91kZXmIub2H0AzI,2ZYKmN2ZfjWqI4XCv9goJ5HvYo33
18,"{'timestamps': ['2024-09-15T17:48:08.126', '2024-09-15T17:48:21.261', '2024-09-15T17:48:59.928'], 'timestamp': DatetimeWithNanoseconds(2024, 9, 15, 15, 48, 59, 928000, tzinfo=datetime.timezone.utc), 'count': 3}","{'timestamps': ['2024-09-15T17:45:53.333', '2024-09-15T17:48:17.244', '2024-09-15T17:48:54.109'], 'timestamp': DatetimeWithNanoseconds(2024, 9, 15, 15, 48, 54, 109000, tzinfo=datetime.timezone.utc), 'count': 3}",,GCUralSUIsc7qOVHziaC,2uhQkHn4mBP4LMW6nUUrLns0wpx1
19,"{'timestamps': ['2024-09-15T17:50:28.332'], 'timestamp': DatetimeWithNanoseconds(2024, 9, 15, 15, 50, 28, 332000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-09-15T17:49:49.459'], 'timestamp': DatetimeWithNanoseconds(2024, 9, 15, 15, 49, 49, 459000, tzinfo=datetime.timezone.utc), 'count': 1}",,oGKLrdsDppF3xtjavarw,2uhQkHn4mBP4LMW6nUUrLns0wpx1
20,"{'timestamps': ['2025-03-16T10:17:54.157675', '2025-04-03T08:56:28.247423'], 'timestamp': DatetimeWithNanoseconds(2025, 4, 3, 12, 56, 28, 246999, tzinfo=datetime.timezone.utc), 'count': 2}","{'timestamps': ['2025-03-16T10:17:54.158709', '2025-03-16T10:17:58.945893', '2025-04-03T08:56:28.248712'], 'timestamp': DatetimeWithNanoseconds(2025, 4, 3, 12, 56, 28, 247999, tzinfo=datetime.timezone.utc), 'count': 3}",,vcP9CSuJh9fNbJfm3TIh,37cGiD8dq6bqMVAodqN2STa3isk2
21,,"{'timestamps': ['2024-09-03T16:34:12.102'], 'timestamp': DatetimeWithNanoseconds(2024, 9, 3, 14, 34, 12, 102000, tzinfo=datetime.timezone.utc), 'count': 1}",,aE8ZHZOByqgZU2UrCGQC,3Be1Z5dd2ZXDd9IJW8uUhFhuhZC3
